Classifier,Accuracy,Precision,Recall,F1-Score
Naive Bayes,57.26720647773279,69.44971392765166,57.26720647773279,57.62669498393272
Bagging,89.4008097165992,89.44896234267048,89.4008097165992,89.40429487019156
Random Forest,89.21862348178138,88.96048159536659,89.21862348178138,89.03018437916681
MLP Neural Network,88.6923076923077,88.25591398299258,88.6923076923077,88.18630265897703
XGBoost,90.07287449392713,89.81670578990718,90.07287449392713,89.7714594204223
